sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
47.5,500,0.05,1.0,0.20107,0.12138,0.08142,0.04681,0.01491,0.01102,0.25056,0.14945,0.09863,0.0553,0.0164,0.01174,928.232,942.423,862.099,618.659,130.884,48.535,186.636,114.396,70.194,28.957,1.951,0.535,45.938,26.447,14.837,5.254,0.196,0.035,2.019
50.0,500,0.05,1.0,0.21223,0.12759,0.08535,0.04893,0.01557,0.01152,0.26217,0.15581,0.10262,0.05744,0.01707,0.01224,868.779,885.793,813.506,585.75,124.158,46.008,184.377,113.02,69.434,28.661,1.933,0.53,43.392,24.996,14.051,4.985,0.186,0.033,2.084
52.5,500,0.05,1.0,0.22523,0.13477,0.08987,0.05136,0.01633,0.0121,0.27571,0.16317,0.10721,0.05989,0.01783,0.01281,807.386,827.205,763.174,551.648,117.189,43.388,181.848,111.483,68.587,28.334,1.914,0.525,40.755,23.491,13.236,4.706,0.176,0.031,2.09
55.0,500,0.05,1.0,0.24052,0.14314,0.09511,0.05417,0.0172,0.01278,0.29163,0.17175,0.11253,0.06272,0.0187,0.01349,744.247,766.817,711.221,516.428,109.991,40.684,179.01,109.761,67.644,27.973,1.892,0.52,38.034,21.937,12.393,4.417,0.165,0.029,2.167
57.5,500,0.05,1.0,0.25871,0.15299,0.10123,0.05742,0.0182,0.01354,0.31055,0.18184,0.11876,0.066,0.01971,0.01425,679.576,704.798,657.77,480.164,102.579,37.899,175.811,107.826,66.589,27.573,1.867,0.513,35.234,20.337,11.525,4.12,0.155,0.027,2.179
60.0,500,0.05,1.0,0.28062,0.16472,0.10848,0.06125,0.01936,0.01444,0.33336,0.19387,0.12612,0.06986,0.02087,0.01515,613.62,641.337,602.957,442.94,94.969,35.041,172.191,105.643,65.408,27.131,1.839,0.506,32.365,18.694,10.634,3.814,0.143,0.025,2.188
62.5,500,0.05,1.0,0.30745,0.17891,0.11716,0.0658,0.02074,0.01547,0.36129,0.20841,0.13493,0.07445,0.02225,0.01619,546.661,576.649,546.928,404.843,87.179,32.117,168.069,103.166,64.078,26.64,1.808,0.497,29.433,17.014,9.72,3.501,0.132,0.023,2.179
65.0,500,0.05,1.0,0.34098,0.19636,0.12774,0.0713,0.02238,0.01672,0.3962,0.22631,0.14568,0.07999,0.02389,0.01744,479.039,510.984,489.848,365.964,79.226,29.133,163.344,100.339,62.575,26.094,1.773,0.487,26.45,15.3,8.787,3.181,0.12,0.021,2.261
67.5,500,0.05,1.0,0.38397,0.21833,0.14091,0.07807,0.02436,0.01824,0.44095,0.24883,0.15905,0.08682,0.02588,0.01897,411.164,444.637,431.906,326.405,71.13,26.098,157.874,97.079,60.859,25.484,1.733,0.476,23.427,13.558,7.837,2.855,0.108,0.019,2.26
70.0,500,0.05,1.0,0.4409,0.24679,0.15773,0.08663,0.02682,0.02007,0.50021,0.278,0.17614,0.09544,0.02834,0.02081,343.559,377.981,373.327,286.279,62.91,23.019,151.476,93.282,58.884,24.799,1.687,0.462,20.377,11.796,6.872,2.524,0.096,0.017,2.29
