sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
40.0,3750,0.1,3.0,0.20813,0.14529,0.10529,0.06993,0.02573,0.0198,0.251,0.17203,0.12256,0.08011,0.02812,0.0212,1080.763,1075.337,967.253,701.783,160.653,56.469,224.94,156.24,101.838,49.074,4.134,1.118,46.335,28.754,16.712,7.146,0.384,0.079,1.635
42.5,3750,0.1,3.0,0.21644,0.15072,0.10902,0.07231,0.02662,0.02051,0.2596,0.17758,0.12636,0.08251,0.02901,0.02192,1028.054,1025.266,924.683,672.565,154.312,54.207,222.509,154.525,100.812,48.631,4.108,1.112,44.377,27.546,16.03,6.863,0.369,0.076,1.705
45.0,3750,0.1,3.0,0.22592,0.15688,0.11325,0.07499,0.02762,0.02132,0.26942,0.18389,0.13065,0.08522,0.03001,0.02273,972.939,972.859,880.089,641.94,147.664,51.836,219.811,152.62,99.673,48.141,4.078,1.105,42.323,26.278,15.315,6.567,0.354,0.073,1.732
47.5,3750,0.1,3.0,0.23681,0.16391,0.11806,0.07803,0.02874,0.02222,0.2807,0.19109,0.13554,0.08829,0.03114,0.02362,915.568,918.243,833.57,609.973,140.721,49.361,216.818,150.509,98.412,47.599,4.044,1.097,40.179,24.954,14.568,6.258,0.338,0.069,1.796
50.0,3750,0.1,3.0,0.24938,0.17197,0.12355,0.08149,0.03002,0.02325,0.29371,0.19934,0.14111,0.09178,0.03242,0.02467,856.104,861.558,785.233,576.73,133.497,46.786,213.496,148.165,97.014,47.0,4.007,1.088,37.949,23.576,13.79,5.935,0.321,0.066,1.818
52.5,3750,0.1,3.0,0.264,0.18128,0.12985,0.08545,0.03147,0.02443,0.30884,0.20887,0.14751,0.09578,0.03387,0.02584,794.728,802.956,735.189,542.283,126.007,44.118,209.805,145.563,95.465,46.339,3.965,1.078,35.639,22.147,12.984,5.601,0.303,0.062,1.924
55.0,3750,0.1,3.0,0.28115,0.19212,0.13715,0.09001,0.03313,0.0258,0.32659,0.21996,0.15492,0.10038,0.03554,0.0272,731.639,742.603,683.562,506.706,118.265,41.362,205.697,142.67,93.748,45.609,3.918,1.067,33.252,20.671,12.149,5.255,0.285,0.058,1.876
57.5,3750,0.1,3.0,0.3015,0.20486,0.14567,0.09531,0.03505,0.02736,0.34766,0.233,0.16357,0.10573,0.03747,0.02876,667.062,680.683,630.483,470.078,110.287,38.524,201.116,139.448,91.84,44.802,3.866,1.054,30.797,19.151,11.29,4.899,0.266,0.054,1.923
60.0,3750,0.1,3.0,0.32597,0.22004,0.15574,0.10153,0.03729,0.02918,0.373,0.24853,0.1738,0.11201,0.03971,0.03058,601.254,617.402,576.099,432.484,102.09,35.61,195.99,135.851,89.72,43.911,3.807,1.039,28.278,17.59,10.406,4.533,0.247,0.05,1.944
62.5,3750,0.1,3.0,0.3559,0.23837,0.1678,0.10893,0.03992,0.03129,0.40399,0.26729,0.18605,0.11948,0.04234,0.0327,534.511,552.997,520.57,394.016,93.69,32.627,190.233,131.817,87.352,42.922,3.74,1.021,25.704,15.992,9.501,4.157,0.227,0.046,1.973
65.0,3750,0.1,3.0,0.39328,0.26095,0.18252,0.1179,0.04306,0.0338,0.44268,0.2904,0.201,0.12854,0.0455,0.03522,467.188,487.746,464.08,354.772,85.105,29.582,183.734,127.278,84.703,41.828,3.665,1.0,23.083,14.363,8.576,3.773,0.207,0.042,2.001
67.5,3750,0.1,3.0,0.44117,0.28942,0.20085,0.12896,0.04687,0.03685,0.49227,0.31954,0.21962,0.1397,0.04931,0.03829,399.722,421.985,406.843,314.863,76.355,26.483,176.346,122.131,81.716,40.604,3.579,0.976,20.426,12.708,7.634,3.382,0.186,0.038,2.043
70.0,3750,0.1,3.0,0.50465,0.32642,0.22436,0.14297,0.05162,0.04058,0.558,0.35741,0.24349,0.15384,0.05406,0.04199,332.662,356.136,349.12,274.415,67.459,23.337,167.879,116.251,78.327,39.234,3.482,0.947,17.746,11.034,6.679,2.983,0.165,0.033,2.069
72.5,3750,0.1,3.0,0.59257,0.37643,0.25556,0.16132,0.05765,0.0453,0.64902,0.40858,0.27518,0.17237,0.06011,0.04674,266.736,290.755,291.246,233.579,58.44,20.155,158.06,109.448,74.432,37.681,3.369,0.913,15.058,9.35,5.713,2.58,0.144,0.029,2.056
75.0,3750,0.1,3.0,0.72191,0.44772,0.29906,0.18641,0.06563,0.05145,0.78294,0.48155,0.31935,0.1977,0.06812,0.05287,202.946,226.61,233.676,192.549,49.323,16.947,146.509,101.458,69.884,35.894,3.237,0.872,12.386,7.666,4.741,2.172,0.123,0.024,2.079
77.5,3750,0.1,3.0,0.92937,0.55732,0.36394,0.22292,0.07676,0.0598,0.99775,0.59373,0.38523,0.23455,0.07928,0.06126,142.737,164.837,177.078,151.593,40.138,13.728,132.656,91.867,64.445,33.793,3.081,0.821,9.76,6.001,3.771,1.763,0.101,0.02,2.075
80.0,3750,0.1,3.0,1.3097,0.74625,0.47091,0.28094,0.09338,0.07207,1.39158,0.78709,0.49387,0.29311,0.09594,0.0735,88.294,107.223,122.536,111.132,30.926,10.517,115.639,80.015,57.704,31.221,2.888,0.758,7.229,4.379,2.813,1.353,0.079,0.015,2.107
