sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
32.5,1000,0.1,2.0,0.2183,0.1475,0.10604,0.0623,0.02468,0.01806,0.27114,0.17981,0.12685,0.07262,0.0275,0.01945,1171.708,1181.108,1079.148,730.728,190.505,62.781,255.787,174.219,114.43,45.528,4.702,1.134,61.909,38.157,22.46,7.535,0.537,0.087,1.386
35.0,1000,0.1,2.0,0.22509,0.15178,0.10896,0.06393,0.02533,0.01855,0.27822,0.18421,0.12983,0.07426,0.02815,0.01993,1127.291,1138.773,1042.711,707.881,184.748,60.86,253.747,172.844,113.614,45.257,4.68,1.129,59.892,36.927,21.759,7.31,0.521,0.084,1.424
37.5,1000,0.1,2.0,0.23282,0.15662,0.11226,0.06577,0.02607,0.01913,0.28628,0.18919,0.13319,0.07611,0.02889,0.02052,1080.137,1093.786,1003.963,683.569,178.621,58.816,251.476,171.314,112.705,44.955,4.656,1.125,57.747,35.618,21.012,7.071,0.504,0.082,1.482
40.0,1000,0.1,2.0,0.24162,0.16211,0.11599,0.06783,0.02689,0.01975,0.29546,0.19483,0.13699,0.07819,0.02971,0.02115,1030.368,1046.254,962.988,657.842,172.138,56.653,248.953,169.612,111.694,44.619,4.629,1.119,55.478,34.232,20.222,6.818,0.486,0.079,1.563
42.5,1000,0.1,2.0,0.25166,0.16835,0.1202,0.07015,0.02782,0.02047,0.30593,0.20124,0.14128,0.08054,0.03065,0.02187,978.12,996.293,919.876,630.75,165.31,54.376,246.153,167.723,110.573,44.247,4.599,1.113,53.088,32.772,19.389,6.552,0.467,0.076,1.572
45.0,1000,0.1,2.0,0.26317,0.17545,0.12499,0.07277,0.02886,0.02127,0.31794,0.20854,0.14615,0.08319,0.03168,0.02266,923.54,944.026,874.721,602.346,158.152,51.99,243.046,165.627,109.328,43.835,4.564,1.106,50.585,31.242,18.516,6.272,0.447,0.072,1.651
47.5,1000,0.1,2.0,0.27642,0.18357,0.13043,0.07575,0.03004,0.02218,0.33177,0.21689,0.1517,0.08619,0.03288,0.02358,866.789,889.589,827.629,572.688,150.676,49.498,239.6,163.302,107.948,43.379,4.527,1.098,47.972,29.644,17.604,5.98,0.427,0.069,1.664
50.0,1000,0.1,2.0,0.29178,0.19291,0.13666,0.07913,0.03138,0.02322,0.34779,0.2265,0.15805,0.0896,0.03421,0.0246,808.047,833.13,778.708,541.836,142.899,46.907,235.773,160.72,106.418,42.876,4.484,1.089,45.257,27.982,16.654,5.675,0.405,0.065,1.706
52.5,1000,0.1,2.0,0.30972,0.20373,0.14383,0.083,0.03291,0.0244,0.3665,0.23762,0.16535,0.09352,0.03575,0.0258,747.511,774.81,728.079,509.853,134.836,44.222,231.519,157.852,104.721,42.319,4.437,1.079,42.446,26.26,15.669,5.36,0.383,0.062,1.761
55.0,1000,0.1,2.0,0.33087,0.21637,0.15216,0.08747,0.03466,0.02574,0.38857,0.25061,0.17383,0.09802,0.0375,0.02714,685.402,714.807,675.869,476.806,126.503,41.448,226.78,154.66,102.837,41.704,4.384,1.067,39.545,24.481,14.651,5.033,0.36,0.058,1.752
57.5,1000,0.1,2.0,0.35611,0.23128,0.16191,0.09265,0.03667,0.02731,0.41489,0.26595,0.18377,0.10326,0.03952,0.02871,621.971,653.32,622.22,442.766,117.917,38.591,221.489,151.1,100.741,41.024,4.324,1.054,36.563,22.65,13.602,4.696,0.336,0.054,1.871
60.0,1000,0.1,2.0,0.38665,0.24911,0.17347,0.09876,0.03902,0.02911,0.44676,0.28428,0.19554,0.10942,0.04188,0.03051,557.507,590.574,567.286,407.806,109.097,35.659,215.561,147.119,98.405,40.274,4.257,1.038,33.509,20.772,12.524,4.349,0.312,0.05,1.83
62.5,1000,0.1,2.0,0.42427,0.27076,0.18737,0.10602,0.04179,0.03123,0.486,0.30655,0.2097,0.11676,0.04466,0.03264,492.349,526.83,511.243,372.006,100.06,32.657,208.891,142.647,95.79,39.44,4.182,1.02,30.393,18.852,11.42,3.994,0.287,0.046,1.842
